language,Language_Group
Albanian,European
Amharic,African
Arabic,Arabic
Bengali & Sylheti,South Asian
Brawa & Somali,African
British Sign Language,European
British Signing Language,European
Bulgarian,European
Cantonese,East Asian
Cantonese and Vietnamese,East Asian
Castilian,European
Chinese,East Asian
Croatian,European
Dari,West/Central Asian
Dutch,European
Dutch; Flemish,European
English,English
Farsi (Persian),West/Central Asian
Farsi/Persian,West/Central Asian
Finnish,European
Flemish,European
French,European
Gaelic,European
German,European
Greek,European
Gujerati,South Asian
Hausa,African
Hebrew,West/Central Asian
Hindi,South Asian
Hungarian,European
Italian,European
Japanese,East Asian
Korean,East Asian
Kurdish,West/Central Asian
Lingala,African
Lithuanian,European
Maketon (sign language),Other
Malayalam,East Asian
Mandarin,East Asian
Mongolian,West/Central Asian
Nepali,South Asian
Norwegian,European
NSP,Other
Other,Other
Pashto,West/Central Asian
Polish,European
Portuguese,European
Punjabi,South Asian
Romanian,European
Russian,European
Serbo-Croat,European
Sinhala,South Asian
Slovak,European
Somali,African
Spanish,European
Spanish; Castilian,European
Swahili,African
Swedish,European
Tagalog (Filipino),East Asian
Tamil,South Asian
Thai,East Asian
Tigre/Tigrinye,African
Tigrinya,African
Turkish,West/Central Asian
Ukrainian,European
Urdu,South Asian
Welsh,European
Yoruba,African
